sqft,bedrooms,bathrooms,age_years,garage,neighbourhood,distance_cbd,price_usd
2054.5,2,1,22,1,B,2.09,272877.76
2316.2,4,3,41,0,A,1.37,368199.79
1645.5,2,1,9,1,B,7.92,231651.71
1395.9,5,4,29,1,A,11.2,238460.5
1991.5,5,3,16,1,B,7.05,292985.39
2003.2,4,3,15,0,C,1.61,233927.42
1896.2,1,1,34,1,C,9.46,169259.05
1910.3,5,2,7,1,B,1.0,281277.98
1755.0,3,2,34,1,A,33.81,207105.59
1839.3,4,2,24,1,B,14.73,239497.68
1727.3,1,1,13,1,A,2.19,255183.79
2228.1,4,2,33,1,C,1.0,250211.38
2691.4,2,1,45,1,B,3.26,315866.21
1871.9,4,3,36,1,B,7.83,265901.44
1797.4,2,1,5,1,B,9.53,235266.44
1902.3,5,2,33,0,B,2.3,276311.63
1536.8,4,2,37,1,B,7.16,215297.45
2106.0,3,2,41,1,C,1.0,220327.56
1976.5,3,1,25,1,A,11.88,285918.31
1631.8,1,1,5,1,B,6.21,211294.26
2160.8,2,2,7,1,C,5.89,227718.82
1807.6,4,3,19,1,B,4.41,272458.44
1412.0,5,2,38,1,B,13.83,178494.37
1940.6,5,3,44,0,A,18.1,295812.96
1894.8,1,1,40,1,B,1.22,245692.27
2184.2,2,2,18,0,B,3.32,270429.38
2132.6,4,2,26,1,B,1.0,315892.46
1756.3,2,1,2,1,A,2.91,280081.73
1611.2,2,1,47,0,B,2.32,188263.43
1800.7,2,1,21,1,B,1.0,226818.99
1945.3,5,2,30,0,C,1.0,231616.75
1993.5,5,4,26,1,B,10.29,264168.23
1920.6,1,1,17,1,B,3.82,227923.66
1763.7,5,3,10,1,C,9.55,199691.49
2198.7,3,2,57,1,A,4.13,344522.35
1530.3,5,2,7,1,B,4.57,245547.7
2791.8,4,2,56,1,A,6.81,421698.01
2105.2,4,2,6,1,B,1.0,314816.64
1349.0,3,2,5,0,C,9.66,138088.98
1874.1,4,2,54,1,B,1.0,257115.3
2109.1,5,4,56,1,C,1.0,254988.31
1660.3,3,2,53,1,A,1.0,261210.15
1201.9,1,1,46,1,B,7.27,127027.68
1384.4,1,1,29,1,B,2.15,180032.68
2016.8,3,1,6,1,A,6.23,332065.7
1098.2,3,1,35,0,B,5.4,133589.18
1220.3,5,4,31,1,B,4.28,207415.0
2014.7,1,1,44,0,B,1.35,228061.22
1711.0,5,3,2,1,C,1.0,219129.57
1521.7,1,1,4,1,C,4.27,163801.73
1602.1,3,1,35,1,B,10.25,201124.91
1211.7,3,2,51,1,C,2.82,146734.53
1993.8,3,2,55,1,A,3.24,308821.93
1477.4,1,1,34,1,A,4.28,212634.05
1585.7,4,3,22,0,B,4.59,222381.68
1938.7,1,1,28,0,B,2.02,237693.7
1697.3,4,2,30,0,B,4.56,229310.81
1518.1,3,2,37,1,B,15.79,188285.33
1004.2,5,2,13,0,C,1.4,113980.2
1947.0,5,4,23,1,A,6.25,316632.37
1831.6,5,4,32,1,C,15.4,211138.63
1593.0,3,1,51,1,B,27.04,159975.59
1385.0,3,2,48,1,B,8.46,174069.68
1805.1,4,3,45,0,A,4.23,286114.92
1992.2,4,2,12,1,B,1.0,307335.74
1839.1,4,2,24,0,B,1.0,262827.74
2455.2,3,2,33,1,B,2.07,332600.6
2081.9,3,1,58,1,B,3.66,248644.62
1757.1,1,1,21,1,A,21.38,215142.18
2095.3,1,1,55,1,B,5.37,217331.38
1819.5,5,3,44,1,B,6.42,259831.68
1818.1,5,3,38,1,C,7.37,214633.01
2318.5,4,2,42,1,B,1.77,322596.39
1440.8,2,1,47,0,B,1.0,175147.53
1809.3,1,1,41,1,B,2.37,218331.39
2275.9,1,1,40,0,B,18.81,222838.67
1923.6,4,2,22,0,B,1.0,251577.9
1652.4,4,3,25,1,A,2.53,289644.33
1117.5,2,1,35,0,C,3.01,95481.27
891.9,1,1,50,1,B,8.45,110691.48
2630.5,1,1,39,0,B,6.6,282929.08
1923.4,4,3,59,1,B,8.43,244475.56
1566.4,4,2,40,1,B,8.05,189507.07
1939.8,2,2,24,1,A,8.0,297893.34
1420.9,4,2,34,1,B,1.05,208391.54
1667.5,5,2,37,1,A,30.79,218466.64
1423.6,3,2,52,1,A,10.81,197339.06
1234.7,2,1,15,0,A,2.78,187342.44
958.0,1,1,14,1,B,11.92,106670.12
1160.9,4,3,12,1,A,18.55,188478.11
2208.5,3,2,3,0,C,21.02,223964.19
1405.2,2,1,40,1,C,16.21,123488.42
2014.0,1,1,57,1,A,5.14,282390.82
2182.7,5,3,36,0,B,2.55,289183.91
1806.6,5,2,3,1,B,2.67,267109.18
1680.6,3,2,21,1,C,22.75,155500.58
1853.2,2,1,54,1,B,15.48,225461.01
1633.4,4,2,3,0,B,4.81,224016.84
2281.6,5,2,36,1,A,4.02,378915.4
2550.6,3,2,26,1,C,3.85,259212.46
2379.9,1,1,55,1,A,7.72,297235.88
939.4,1,1,30,1,C,21.92,57608.02
1625.2,1,1,33,0,A,2.55,247516.43
1801.7,3,2,43,0,B,10.4,213860.83
1985.2,3,2,49,0,B,6.37,251398.32
1109.1,3,1,30,1,A,6.21,176117.66
1102.6,4,2,43,0,A,20.87,109712.79
2322.7,1,1,48,1,A,17.09,287164.98
1576.4,5,2,31,1,B,9.65,223330.66
1205.0,2,1,42,0,B,3.93,139127.27
1358.5,3,2,21,1,A,6.14,226995.96
1956.2,2,1,21,0,B,1.0,237940.29
1471.0,2,1,0,1,A,9.22,242287.38
1896.7,5,3,40,1,B,17.33,237924.35
1408.5,1,1,15,1,B,4.61,183371.57
1102.3,3,2,48,1,C,13.52,106151.82
2369.8,3,2,57,1,C,1.0,238611.17
1959.3,3,2,52,0,B,9.82,214667.52
1666.5,2,1,16,1,A,1.7,265228.74
1591.5,2,1,39,1,C,1.0,183115.93
2386.0,5,3,45,1,A,3.42,403488.23
2036.6,2,1,30,1,A,5.47,315541.85
2258.7,3,2,30,1,B,5.23,286726.25
1566.5,2,1,26,1,B,20.32,155972.42
1820.3,4,2,18,1,B,4.71,267983.17
1960.9,5,4,34,0,C,1.43,229397.09
1580.0,5,2,59,0,B,2.59,206296.09
1761.8,1,1,13,1,A,6.45,260313.34
1566.6,1,1,2,1,B,7.6,185150.53
1959.6,2,1,3,1,B,1.17,275985.54
1271.4,3,2,34,1,A,6.4,217990.19
2028.8,1,1,16,1,C,3.68,198091.02
1924.3,5,3,27,1,B,1.78,276227.45
1718.7,5,3,57,1,B,8.5,243155.1
1979.8,3,2,4,1,C,3.88,215031.42
1654.0,4,3,10,1,B,8.5,256271.19
1531.9,3,1,12,0,B,22.05,161644.08
2017.5,4,3,27,1,B,2.71,281318.54
2034.8,5,3,41,0,C,1.0,221792.42
1597.1,1,1,10,0,C,18.81,125751.96
1562.8,2,1,6,1,B,7.96,215870.63
1726.8,3,2,5,0,A,2.47,289387.34
1579.2,5,2,48,1,C,1.31,193180.47
2410.0,3,2,1,0,C,8.37,246609.83
1926.6,2,1,37,1,B,1.67,240785.34
1805.8,1,1,34,1,C,4.16,175420.25
1426.9,3,2,6,0,B,4.28,189413.91
2095.6,2,1,33,1,B,24.97,235696.62
1555.4,2,1,17,0,B,3.75,201663.62
1538.9,5,4,30,1,A,7.08,275683.13
2109.0,3,1,8,0,B,8.88,251062.18
1954.9,1,1,40,1,B,12.8,232402.62
798.6,1,1,47,1,A,3.52,113330.06
1736.9,2,2,0,1,A,1.09,295388.5
1850.2,1,1,31,1,B,2.85,244324.7
1664.2,3,2,38,1,B,22.35,179896.81
1864.1,3,2,0,1,C,1.27,212944.01
1076.1,5,2,43,1,A,12.32,175295.4
667.6,2,1,32,1,C,1.0,65323.12
1409.8,2,1,18,1,A,32.6,160337.56
1912.9,4,3,28,0,A,6.34,292228.32
600.0,4,2,40,0,B,9.43,69423.25
1462.6,1,1,38,0,B,2.63,157205.18
1030.9,1,1,46,1,B,25.74,71364.39
1703.0,1,1,2,1,A,1.0,266835.7
2583.2,4,2,47,0,A,1.0,394247.14
1713.1,2,1,2,1,B,25.74,187533.55
1757.0,5,2,39,1,A,1.0,305687.92
2135.7,3,2,20,1,A,1.0,375477.58
1808.5,5,4,3,1,A,2.82,340298.42
1714.0,2,1,41,1,B,5.32,216583.32
2170.7,3,2,33,0,B,5.68,273811.7
1988.8,1,1,39,1,A,22.72,241412.56
1915.5,5,2,22,0,B,1.0,269592.03
1744.5,3,2,16,0,B,20.46,194621.08
1661.6,1,1,37,1,B,6.5,197905.33
2166.9,4,2,12,1,B,2.3,300561.32
1665.4,5,2,48,1,B,26.56,182793.09
2292.5,4,2,40,0,C,18.05,208962.12
1381.1,5,4,59,1,A,2.91,226791.08
2373.5,2,1,1,1,C,1.32,269114.03
1988.8,3,2,35,1,A,5.21,333304.57
1412.6,5,3,33,1,B,5.67,213371.01
2003.6,4,3,51,1,B,9.18,265232.5
1539.9,4,2,25,1,A,1.0,283553.13
1813.4,4,3,56,1,A,1.0,286278.76
1605.3,4,3,14,1,A,11.79,278153.87
1746.8,1,1,51,1,A,29.72,178956.14
2176.6,2,1,31,1,B,4.2,296199.31
2007.4,4,2,56,1,A,19.97,274059.46
1349.9,2,2,13,0,C,1.0,152667.79
1372.8,4,3,15,1,C,7.5,161595.91
1908.3,3,1,33,1,A,2.6,323530.18
1937.3,4,2,33,1,A,16.2,283562.12
1530.2,2,2,8,0,B,12.26,192763.15
2436.5,2,1,39,1,C,3.2,248245.34
2125.4,4,3,24,1,B,3.22,302650.49
1549.8,1,1,9,0,A,9.42,213040.18
1511.1,2,1,30,1,C,1.59,152648.06
1708.9,5,2,41,1,B,3.8,216103.91
1667.3,1,1,1,0,B,21.9,179506.68
2302.5,3,2,55,1,C,25.72,192203.31
2193.8,1,1,36,1,C,9.36,215319.83
1814.0,4,2,15,1,B,9.06,252577.15
2071.2,1,1,45,1,B,4.11,257826.58
2129.2,3,1,50,1,B,9.1,264313.16
1823.3,3,1,57,1,A,1.0,254108.87
1961.0,4,3,47,1,B,2.22,275535.49
2037.7,1,1,12,1,A,33.44,236121.7
1995.0,3,1,9,1,B,1.0,288555.19
1488.5,3,2,12,1,B,4.41,218714.37
1528.9,2,1,52,1,C,7.48,148837.82
1684.6,2,1,18,1,C,4.26,173785.19
1517.3,4,3,19,1,A,1.0,269970.08
1210.8,3,2,53,1,A,6.61,181145.23
2070.4,3,2,12,1,B,33.38,206689.63
1938.6,5,3,24,1,A,6.22,327914.67
1264.3,3,2,17,1,A,9.59,193005.84
1703.6,5,3,18,1,B,2.72,245627.23
1726.3,5,4,35,0,B,7.41,235990.32
1872.8,3,2,44,1,A,37.0,218627.92
1367.2,2,1,15,1,B,31.97,128315.06
1258.4,3,2,2,1,C,5.89,144790.45
2007.9,1,1,38,1,B,7.72,225025.19
1186.4,4,3,32,0,A,6.53,189207.79
1706.9,2,1,39,1,B,5.25,202607.98
1669.6,5,3,27,1,C,1.28,202809.71
1750.7,4,2,46,0,A,1.32,256506.29
1901.1,3,2,37,0,B,21.68,207290.19
2439.4,1,1,45,1,B,9.61,273348.74
1160.2,1,1,43,1,B,1.0,147486.94
2150.6,4,2,29,1,A,6.38,354249.95
795.1,4,3,19,1,C,3.1,116643.95
2357.5,2,1,34,1,B,8.94,292009.48
982.9,1,1,38,0,A,12.29,84173.27
2774.6,2,1,34,1,A,10.25,392818.36
1644.1,4,3,31,0,B,3.11,233607.09
2316.2,3,2,20,0,A,10.75,341610.28
2233.7,1,1,8,0,B,29.83,235865.05
1625.4,1,1,25,1,C,27.32,141765.07
1656.1,1,1,52,1,A,1.49,240309.29
1465.1,4,3,43,1,C,13.78,148481.93
2114.9,4,2,45,1,C,6.11,211266.97
1630.6,3,1,44,1,A,1.0,254050.15
1472.4,4,3,55,1,B,7.61,191894.39
2014.9,1,1,13,0,C,8.91,178436.59
1441.1,3,2,43,1,B,6.57,178110.28
1668.4,2,1,4,1,B,17.42,203387.69
1842.8,5,2,14,1,C,1.0,238679.26
1543.0,3,2,1,1,B,4.18,234635.52
1603.4,5,3,25,0,A,3.09,271254.11
2414.0,3,1,8,0,A,1.09,385142.14
1718.3,3,2,23,1,B,1.0,245163.22
1656.1,5,4,8,1,B,1.0,267330.86
1729.9,5,3,2,1,B,20.74,234091.92
1981.8,3,2,28,0,A,7.95,288292.82
1386.5,2,1,24,1,C,1.91,155747.02
1970.9,4,2,25,1,B,2.7,276996.37
1902.3,1,1,20,1,B,9.53,219944.89
1084.5,2,1,24,1,A,39.01,83585.19
2517.7,5,4,0,1,A,2.07,450646.57
2384.3,5,3,28,1,A,9.98,390865.74
1479.8,3,1,50,1,B,1.4,190651.1
1351.0,2,1,8,1,A,1.0,219228.18
1891.2,5,2,8,0,C,5.74,221685.64
1229.7,2,1,46,1,A,1.85,198624.68
2345.7,1,1,30,1,A,12.25,304111.35
1612.6,1,1,15,1,C,1.0,183007.21
2448.7,1,1,47,1,B,7.62,281013.95
1470.2,5,3,19,1,B,19.19,200443.34
1755.1,1,1,36,1,A,1.12,273430.38
2306.9,2,2,33,1,B,3.06,311722.68
1670.7,4,3,10,0,B,8.65,235219.17
1908.8,4,3,45,1,C,3.64,211427.68
2237.1,5,4,37,0,B,18.66,258868.99
1577.6,5,3,12,1,C,1.0,180785.46
1295.3,3,2,45,1,B,4.84,181032.49
1216.5,2,1,37,1,B,1.0,174902.19
2033.4,1,1,51,1,B,9.86,218646.02
1955.5,5,2,49,1,B,3.62,265225.71
2224.7,2,2,19,0,B,12.77,252340.26
1690.4,5,3,56,0,B,5.76,212496.49
1227.7,2,1,2,1,A,5.68,215905.33
858.9,4,2,20,1,B,3.09,146067.1
2947.2,4,3,36,1,A,2.38,469188.16
2010.8,4,2,32,1,B,1.0,306867.51
1854.7,4,2,13,1,A,3.69,304485.56
1911.5,2,1,11,1,A,2.19,312081.91
1227.5,1,1,46,0,A,15.67,116661.14
1482.1,1,1,52,1,A,17.58,172045.34
2497.3,3,2,40,1,A,14.06,362164.88
2063.3,5,4,31,0,A,7.74,340389.05
1494.6,4,2,46,1,B,8.82,193088.8
1309.3,4,3,14,1,B,7.15,194143.11
1593.7,2,1,58,1,C,3.54,150142.25
1673.8,3,1,7,0,C,1.57,167778.35
2619.7,3,2,35,0,A,13.44,371092.24
1724.7,1,1,20,1,B,9.93,207915.59
1324.2,4,2,54,1,B,2.75,187752.85
1776.6,2,1,14,1,B,3.83,233830.27
1905.7,3,2,38,0,B,16.27,209223.62
1287.8,3,2,9,1,B,3.1,204598.25
1960.9,1,1,10,1,B,5.01,258493.88
2283.6,5,4,24,0,B,7.19,321800.15
1855.5,2,1,47,0,B,4.86,214152.82
1481.2,4,2,16,0,A,4.36,257147.17
1588.5,4,3,41,0,C,7.2,158011.58
1136.5,1,1,34,0,C,11.27,85855.05
1746.5,2,1,58,0,A,8.3,233933.46
1924.3,3,2,18,0,B,21.47,221405.68
1441.3,5,2,14,1,C,35.72,124710.75
2575.9,4,3,54,1,B,1.0,331643.02
2116.9,3,2,19,1,A,9.42,327586.3
1082.9,5,4,12,1,B,2.66,186785.7
1091.1,3,1,49,1,B,5.94,155792.81
1406.4,5,2,48,1,A,1.22,256381.72
2429.3,4,2,3,1,B,4.24,330882.32
2156.4,1,1,51,1,B,3.07,244674.78
2449.5,2,2,37,0,A,8.11,334468.67
1804.1,1,1,16,0,C,12.97,150858.16
1716.2,2,1,32,1,A,1.0,267066.41
1301.0,1,1,14,0,B,1.0,171265.01
1939.9,1,1,10,0,B,14.43,202252.25
1721.5,1,1,7,0,A,3.73,273238.91
1706.1,4,2,9,1,B,7.16,233474.81
2447.2,3,2,34,1,B,2.31,306951.44
1749.5,3,2,48,1,B,6.51,238800.63
2332.4,4,2,29,1,B,3.1,329393.83
1164.8,5,3,0,1,C,3.43,160511.03
2875.2,3,1,25,0,C,2.59,288900.61
1650.7,3,2,44,1,A,9.91,250384.52
2082.9,4,2,50,0,B,1.0,266311.96
2146.5,3,2,43,1,B,15.41,241287.63
1601.1,3,2,22,1,C,3.54,153611.87
2127.6,2,2,38,1,C,2.39,209571.92
2148.4,1,1,4,1,B,10.13,281704.05
1514.7,1,1,24,1,C,32.09,125433.17
1519.5,4,3,32,1,B,1.0,223719.22
1818.1,5,4,1,1,A,15.09,305410.24
1753.8,3,2,0,1,B,14.38,233471.87
2357.3,1,1,48,1,B,7.49,276271.22
2081.1,4,3,13,0,B,16.63,262970.93
1771.8,5,2,7,0,B,8.26,217323.01
